901.96	1.169491e-08
911.57	1.289361e-07
921.32	3.979041e-07
931.2	1.983312e-07
941.22	1.077824e-07
951.36	4.555756e-09
961.63	-0.0
972.02	1.548934e-09
982.52	2.109616e-07
993.14	5.877012e-08
1003.88	
1014.72	
1025.66	
1036.7	
1047.84	
1059.07	
1070.39	
1081.79	
1093.26	
1104.81	
1116.43	
1128.11	
1139.84	
1151.62	
1163.44	
1175.31	
1187.2	
1199.11	
1211.05	
1223.0	
1234.97	
1246.95	
1258.93	
1270.92	
1282.92	
1294.91	
1306.9	
1318.88	
1330.86	
1342.82	
1354.76	
1366.69	
1378.6	
1390.48	
1449.43	
1461.11	
1472.74	
1484.34	
1495.89	
1507.4	
1518.87	
1530.29	
1541.68	
1553.01	
1564.31	
1575.55	
1586.76	
1597.91	
1609.02	
1620.09	
1631.11	
1642.08	
1653.0	
1663.87	
1674.7	
1685.47	
1696.2	
1706.87	
1717.5	
1728.08	
1738.6	
1749.08	
1759.51	
1769.89	
1780.22	
1967.66	
1977.08	
1986.45	
1995.79	
2005.08	
2014.33	
2023.54	
2032.71	
2041.83	
2050.92	
2059.96	
2068.97	
2077.93	
2086.86	
2095.74	
2104.59	
2113.4	
2122.17	
2130.9	
2139.6	
2148.26	
2156.88	
2165.47	
2174.02	
2182.53	
2191.01	
2199.46	
2207.86	
2216.24	
2224.58	
2232.89	
2241.16	
2249.4	
2257.61	
2265.79	
2273.93	
2282.04	
2290.12	
2298.17	
2306.19	
2314.18	
2322.13	
2330.05	
2337.94	
2345.81	
2353.64	
2361.44	
2369.21	
2376.95	
2384.66	
2392.34	
2400.0	
2407.62	
2415.21	
2422.78	
2430.32	
2437.83	
2445.3	
